F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,lables
94,11,73,19,11,30,20,72,56,34,80,88,90,73,10,31,29,79,7,30,98,96,78,100,68,24,40
43,44,61,51,16,26,81,64,0,44,23,43,78,96,46,79,89,88,51,38,75,44,53,38,26,65,56
80,94,32,67,87,74,60,34,18,73,21,37,77,58,28,51,28,29,92,5,42,39,34,11,24,78,94
26,50,59,44,8,93,28,0,96,60,25,12,76,89,74,85,64,35,0,93,74,75,62,38,0,25,45
34,86,51,89,45,55,76,19,75,80,98,60,100,58,58,10,40,77,56,12,55,72,11,40,2,72,100
76,53,87,61,24,57,6,71,3,92,86,39,56,39,32,21,58,58,7,23,26,72,57,53,11,16,51
23,7,34,68,39,17,11,42,57,66,92,5,21,25,49,0,44,80,11,26,98,28,70,93,70,6,21
75,61,2,56,32,79,25,75,5,66,18,59,95,12,65,96,86,18,52,71,88,48,34,97,24,49,25
50,49,6,62,84,58,96,33,47,85,66,46,87,40,41,60,12,64,69,19,92,11,1,58,95,27,94
10,33,51,30,66,42,78,35,15,66,82,83,94,21,91,84,6,59,66,36,58,25,53,88,88,15,6
82,90,33,1,19,94,43,19,63,48,20,81,98,62,22,29,24,14,51,94,6,42,46,5,34,12,2
56,80,92,97,25,100,13,36,94,29,97,80,92,74,93,68,26,19,95,16,44,69,75,78,25,100,78
66,23,1,14,1,90,60,14,94,53,22,89,53,13,49,14,57,76,95,9,11,62,71,3,19,53,21
75,4,99,87,93,33,41,71,44,98,41,30,56,34,92,26,50,17,43,70,12,69,41,56,5,76,83
55,41,2,51,34,61,44,54,20,14,54,76,98,96,10,31,17,5,24,32,61,85,74,20,34,28,11
66,11,83,32,43,49,95,36,76,49,56,57,100,11,15,95,65,66,2,46,76,10,81,40,32,17,97
96,12,17,59,95,64,49,53,23,95,83,39,84,55,33,17,14,67,36,43,88,60,4,13,49,41,44
31,9,46,92,36,88,78,26,74,14,45,90,23,69,4,32,27,37,76,11,86,55,49,49,55,79,35
53,15,20,25,53,72,48,8,83,58,59,43,39,35,25,33,43,92,20,56,4,24,82,71,64,73,45
27,55,80,51,9,64,78,15,48,87,21,10,99,47,63,58,23,51,89,42,97,80,42,48,32,80,36
81,53,67,73,3,15,20,34,71,31,10,49,81,98,62,66,18,23,57,34,75,0,28,66,47,95,47
92,44,35,95,65,17,96,74,32,4,98,11,30,73,43,36,26,22,33,8,68,18,39,31,56,3,20
61,74,27,16,22,29,87,30,87,33,92,56,70,65,50,58,61,70,43,66,9,97,82,9,7,55,7
11,98,74,74,67,32,1,93,93,39,2,15,72,10,39,74,91,91,44,76,67,26,79,77,57,97,28
19,59,57,55,44,67,45,75,42,13,97,64,97,90,32,9,39,16,35,73,9,13,52,12,59,56,58
2,61,73,79,96,6,93,13,98,55,14,89,61,85,0,54,61,72,91,60,3,55,88,36,85,13,99
75,18,76,25,50,14,88,98,75,70,68,49,99,75,69,83,85,0,77,15,43,60,50,80,45,64,79
53,87,58,25,9,50,18,27,17,60,92,61,37,57,90,33,62,49,60,59,51,5,14,41,1,63,25
19,0,8,16,18,33,27,61,54,47,58,60,67,71,34,11,38,86,66,35,80,29,96,8,15,8,5
42,98,23,76,35,99,11,56,18,5,25,79,18,88,31,13,28,32,55,20,62,63,84,72,19,55,53
95,46,46,29,48,1,10,21,42,99,22,36,49,84,24,67,34,84,77,69,57,22,37,92,60,92,36
18,15,41,46,22,60,45,60,15,62,21,20,19,24,79,22,41,30,96,32,42,9,0,87,79,10,75
34,8,17,33,85,15,63,82,80,91,4,67,98,20,23,51,84,63,17,78,87,70,66,11,0,56,12
95,90,76,79,9,47,11,72,34,83,69,27,89,13,1,92,43,31,67,87,48,77,23,49,17,50,70
68,54,99,44,67,34,41,85,64,84,77,32,14,25,40,17,10,86,51,71,51,26,79,41,21,5,76
11,31,69,12,2,12,97,49,62,8,85,71,53,47,91,75,73,56,96,29,90,15,5,94,46,46,37
32,37,83,20,72,22,21,12,37,89,59,67,59,38,3,60,92,21,84,64,20,14,40,100,3,90,97
15,55,80,49,5,55,41,80,41,92,77,59,86,51,81,21,56,10,27,88,63,39,53,78,73,80,66
83,26,86,81,99,18,63,19,72,93,66,7,38,4,65,61,11,76,53,62,31,87,55,36,31,15,34
32,67,51,0,84,49,53,76,1,22,18,84,69,5,54,64,16,66,86,33,25,0,30,17,8,24,72
55,67,30,24,45,47,71,80,40,8,91,77,77,75,46,88,36,63,24,58,79,28,7,50,33,77,78
57,51,39,97,43,18,79,93,41,25,5,96,78,7,7,67,41,52,99,13,77,15,70,86,8,51,53
25,35,69,37,96,41,21,45,9,47,64,8,87,88,85,77,65,16,2,3,58,7,11,6,81,24,79
58,78,42,8,41,41,74,24,49,20,81,88,22,85,23,83,16,42,33,8,12,74,24,69,17,19,49
94,42,12,47,99,94,69,38,36,14,10,16,61,49,61,15,11,77,46,57,11,30,53,12,35,10,99
59,73,49,30,76,11,65,28,76,42,62,92,55,95,23,3,72,49,16,11,2,27,98,98,64,71,15
64,44,21,50,77,44,78,25,65,52,78,33,10,34,85,14,81,32,9,92,96,60,9,12,46,1,44
82,5,20,95,10,61,73,25,90,67,16,45,89,59,55,59,17,63,12,25,92,62,56,83,53,57,57
89,36,36,96,77,10,54,54,11,5,41,4,41,51,64,18,26,36,83,10,72,9,3,93,12,64,50
90,27,49,1,11,62,58,40,82,69,66,16,29,34,0,74,78,3,74,66,44,80,88,40,2,54,49
64,99,13,58,55,100,65,5,6,69,45,56,45,74,67,21,65,36,85,54,68,21,32,99,26,35,3
64,92,87,21,70,66,46,79,21,29,69,0,94,33,6,55,31,69,96,13,55,39,30,83,28,6,98
44,2,23,11,59,13,95,28,30,16,88,43,78,80,33,59,99,66,68,59,68,83,2,26,97,96,14
84,64,95,72,20,33,94,19,28,5,68,82,15,21,92,48,82,2,33,9,71,100,27,4,14,72,6
12,45,95,40,94,77,100,63,68,45,13,64,66,70,85,63,81,52,19,32,97,19,56,15,48,44,29
88,74,68,92,69,0,55,29,79,33,92,81,87,40,60,81,25,62,41,38,0,5,98,49,43,2,39
3,44,32,36,80,60,71,11,47,73,97,52,53,7,38,18,5,17,67,66,80,25,48,85,60,83,2
92,15,32,86,37,56,10,24,33,25,48,96,23,61,10,48,86,73,90,17,8,40,41,8,20,76,29
34,37,46,37,77,31,44,80,98,66,81,83,50,99,19,47,30,94,72,39,96,41,45,13,38,52,37
5,69,10,49,61,35,76,68,40,74,27,44,62,35,78,96,0,72,70,84,94,8,55,81,6,56,48
10,88,27,58,80,65,99,3,96,14,39,21,82,43,72,0,18,88,96,47,86,57,66,11,39,46,17
10,80,54,87,4,24,7,5,55,29,85,40,81,24,80,79,33,20,80,63,55,0,44,85,17,50,16
78,47,13,83,1,40,11,85,67,12,39,40,78,21,14,76,35,48,16,95,20,19,9,8,86,71,82
30,14,15,20,39,5,88,40,41,44,74,92,67,94,46,67,17,57,37,65,12,19,22,100,51,92,52
52,87,48,60,9,16,67,9,8,62,81,2,75,23,3,90,69,32,73,95,27,38,32,3,65,60,78
98,65,22,17,47,45,57,21,98,90,95,94,7,56,64,92,94,68,67,21,47,73,4,16,74,44,52
59,23,83,88,14,28,52,74,67,11,93,45,88,73,69,58,91,41,64,54,6,92,100,8,83,21,97
96,87,12,21,7,19,53,14,79,89,45,54,32,87,99,73,71,2,64,30,96,25,43,40,73,99,42
57,25,63,15,41,42,83,46,44,80,80,99,8,78,86,32,87,60,49,71,87,21,66,58,26,96,58
8,6,69,81,67,0,51,28,80,97,51,10,6,22,83,67,24,21,18,25,18,65,76,85,10,18,4
71,19,71,6,59,22,23,27,17,66,33,38,65,18,93,62,92,84,28,87,69,70,75,79,55,24,25
39,74,41,46,21,94,86,79,23,84,37,15,91,6,15,80,63,40,72,55,0,97,57,17,32,89,99
20,28,27,16,68,60,43,67,49,100,48,32,39,18,35,55,38,3,43,98,11,12,65,62,13,1,67
8,29,54,64,65,13,7,17,27,84,49,62,37,23,69,93,76,54,36,91,93,62,55,21,39,5,16
18,65,47,75,62,96,13,83,67,42,31,16,69,12,17,85,75,95,53,40,67,72,33,71,68,50,87
64,78,55,99,64,17,95,79,83,43,90,33,25,6,71,44,19,69,17,5,97,92,46,91,1,31,83
42,25,86,38,33,46,55,72,22,16,36,73,26,20,55,62,4,14,90,25,60,75,63,29,2,92,14
77,99,18,20,67,83,71,97,30,30,64,39,12,96,95,82,49,66,56,59,48,82,46,57,50,61,57
77,90,100,20,37,52,66,48,60,43,92,56,1,63,100,67,14,63,26,54,94,51,91,31,87,0,64
89,100,73,82,42,95,66,35,91,82,81,55,0,49,95,59,11,58,9,64,95,89,31,40,55,21,57
12,70,47,43,18,70,79,90,24,17,66,33,68,81,4,45,78,26,77,95,5,30,75,8,46,26,74
58,24,65,26,17,29,44,55,88,71,17,87,22,40,4,21,43,11,100,76,42,48,19,77,19,60,44
43,0,86,47,92,87,47,64,37,54,16,20,99,71,78,26,100,73,5,30,80,39,14,58,29,0,8
21,92,52,77,40,56,18,95,41,69,76,38,87,59,53,1,91,9,60,80,52,88,79,11,22,70,100
57,62,99,36,14,65,45,30,73,93,65,17,14,52,49,86,86,47,0,12,38,11,85,7,95,1,1
7,96,26,93,1,59,58,79,72,1,2,19,10,91,53,95,2,8,54,91,19,18,1,35,9,3,47
13,25,53,100,52,19,37,44,44,100,50,53,20,19,54,70,20,16,83,19,12,7,58,61,77,74,61
92,31,64,20,89,2,7,68,97,65,58,93,68,87,94,96,3,32,54,26,42,43,7,57,58,43,39
17,55,13,29,82,21,17,59,73,17,9,1,26,23,61,62,92,37,36,44,90,62,52,52,55,38,49
90,63,100,5,31,7,33,57,23,38,20,3,67,36,67,28,76,92,46,24,92,5,52,70,10,80,8
1,4,83,78,72,64,97,4,3,79,76,19,16,75,92,86,6,94,99,40,83,97,38,71,6,60,15
6,54,69,78,57,32,16,55,43,64,12,77,34,35,53,11,18,28,33,90,87,15,100,31,50,50,26
11,93,89,76,42,61,100,57,37,41,26,70,89,37,4,77,78,63,30,79,79,2,40,38,4,84,70
99,86,10,56,68,14,54,56,8,57,87,88,81,71,88,79,24,90,32,64,95,76,83,80,2,22,99
24,72,35,48,70,21,56,98,15,55,81,27,90,36,32,17,44,75,51,81,87,69,96,42,12,42,28
89,60,66,67,17,56,9,55,39,6,52,7,1,93,37,35,3,23,7,40,4,32,74,49,72,83,56
79,43,40,39,36,79,88,24,38,31,57,82,59,1,77,29,72,96,34,85,10,21,94,40,97,24,38
34,11,25,83,68,52,100,57,21,66,51,5,56,45,61,29,39,69,13,11,83,8,91,22,72,60,43
13,15,88,90,77,75,95,14,4,32,16,25,100,67,21,76,68,55,14,74,38,3,19,76,75,13,100
95,95,21,75,9,16,87,38,19,39,14,21,25,95,56,44,19,93,83,19,7,82,85,85,71,87,29
98,46,44,100,24,59,25,9,61,94,24,41,78,99,1,55,29,49,46,72,65,22,53,33,63,89,74
25,33,34,13,36,33,78,24,93,61,40,3,64,22,35,25,54,99,13,53,11,38,71,45,17,30,6
6,84,9,100,50,58,31,4,38,22,88,81,54,42,53,18,15,72,34,69,70,7,55,77,28,48,82
96,5,8,79,92,59,80,11,63,65,18,66,23,42,84,30,97,43,84,7,1,98,91,17,31,54,5
98,47,63,55,25,14,71,15,12,34,47,53,12,70,22,62,49,67,33,100,14,70,77,38,58,75,90
73,91,2,47,65,44,72,3,87,63,77,63,34,84,83,23,57,63,52,24,7,32,0,19,85,38,84
85,75,53,53,65,28,93,84,5,25,75,39,73,70,64,95,38,89,8,73,0,83,31,51,26,70,100
40,3,63,35,93,15,34,57,73,29,7,66,10,8,43,25,25,82,96,17,9,85,37,29,30,6,45
64,54,28,23,95,64,92,19,34,2,45,69,84,40,20,87,5,27,42,98,92,99,39,87,11,1,38
41,85,50,28,7,45,10,74,61,34,100,76,24,4,51,28,81,77,77,20,20,25,89,12,22,9,81
16,22,79,45,4,13,74,18,17,51,86,89,85,17,48,62,6,37,47,85,41,39,4,60,29,89,99
53,26,21,10,71,43,74,75,11,40,9,24,64,100,89,52,12,78,34,38,15,89,43,49,18,71,30
86,4,44,73,72,32,18,5,41,38,67,51,97,65,72,17,63,20,62,80,87,87,40,92,44,49,37
1,43,71,5,68,5,21,30,99,55,87,22,4,66,36,96,79,71,50,28,28,61,62,49,49,5,46
53,77,88,19,77,69,28,25,12,97,13,42,65,24,90,18,31,16,87,63,92,61,21,47,9,94,64
50,89,65,69,11,32,36,0,36,64,0,53,30,43,16,99,18,28,32,59,23,12,86,28,69,68,16
30,73,7,58,87,42,83,1,42,45,83,30,55,21,26,28,58,27,73,14,18,95,75,68,83,3,94
91,56,87,67,85,27,6,12,20,15,92,64,49,64,72,42,73,2,12,43,98,90,66,42,6,24,20
76,81,45,88,13,43,81,61,17,95,70,33,100,2,55,13,43,21,48,24,70,74,52,52,59,1,16
27,84,10,82,34,11,24,19,64,87,98,34,68,2,4,49,46,73,39,50,92,60,40,71,90,60,0
67,75,29,16,22,96,36,59,60,69,30,0,80,73,88,75,40,22,87,66,45,21,84,91,79,87,80
92,19,95,27,55,19,21,99,51,9,40,78,25,76,84,91,40,0,9,9,61,2,74,84,39,22,85
86,18,57,64,11,6,9,65,58,76,34,89,20,34,28,68,15,29,92,68,30,70,12,99,58,92,96
27,99,5,59,82,50,47,52,87,40,85,35,40,35,87,82,77,2,88,82,16,44,89,32,69,54,70
91,23,76,94,70,15,50,7,62,73,0,8,91,51,24,53,97,67,92,38,61,21,4,81,44,53,77
97,24,22,94,71,77,86,64,100,35,12,38,93,43,61,49,5,100,59,76,28,9,61,82,56,74,91
16,74,24,44,97,80,9,44,99,76,77,68,56,25,74,46,67,58,64,15,63,32,85,8,47,77,78
70,7,9,33,19,75,32,92,40,65,84,12,50,52,35,99,26,63,44,4,50,19,11,46,100,19,59
85,45,30,46,21,21,47,39,68,60,68,39,41,21,17,65,51,80,92,94,69,50,22,30,49,96,61
65,58,54,75,22,54,55,18,95,26,50,22,14,11,63,17,96,11,39,43,80,70,92,24,29,21,33
95,32,60,49,81,59,90,43,89,12,97,13,80,61,53,83,15,91,99,96,75,68,48,78,28,41,63
72,21,89,82,76,84,41,100,91,55,28,52,47,21,79,96,13,69,91,88,81,68,79,85,59,40,13
34,76,38,24,75,8,26,4,74,79,35,65,27,30,25,97,85,28,60,29,42,68,23,92,71,74,40
49,65,17,47,3,3,69,72,93,22,56,67,4,20,77,0,75,88,62,44,37,84,64,28,41,4,57
78,50,75,82,13,88,40,10,76,71,25,67,84,100,74,5,69,21,30,11,67,100,32,23,95,46,15
56,43,48,2,18,92,25,78,5,44,16,4,78,7,70,93,69,90,34,99,74,90,59,51,84,16,33
69,60,27,91,94,5,8,23,88,53,74,98,84,47,91,29,38,7,61,40,13,58,9,20,81,81,2
22,62,27,79,29,98,62,54,4,3,83,54,80,56,56,32,43,0,48,64,45,54,1,72,79,92,18
42,100,4,64,22,4,87,1,9,53,24,70,78,80,66,15,19,52,11,37,38,51,69,59,72,82,98
28,93,62,58,7,56,92,89,50,16,31,11,55,24,51,8,95,62,24,39,45,50,60,11,57,73,2
16,30,66,48,83,50,28,20,33,14,20,79,82,3,96,6,51,34,55,23,96,12,65,52,17,39,16
6,59,38,65,72,68,77,66,68,67,50,51,49,28,4,84,3,17,11,86,65,22,64,25,85,88,20
3,99,100,84,95,99,40,80,90,100,10,59,71,55,31,92,79,69,35,5,10,12,41,34,4,58,61
33,49,47,30,39,34,95,65,27,43,57,35,53,20,69,16,37,69,36,11,6,96,60,48,47,9,31
47,15,30,52,61,27,57,29,39,88,60,28,18,62,71,40,70,94,65,70,23,64,53,26,46,49,89
23,47,89,92,4,1,87,34,82,4,75,52,5,79,32,93,32,60,76,25,58,100,86,85,99,59,50
77,64,33,78,38,35,4,68,5,38,90,37,89,27,20,74,9,58,89,71,50,39,98,98,68,11,0
46,3,15,21,83,38,55,16,56,33,88,51,94,87,20,17,95,57,57,58,85,27,39,60,80,45,71
64,66,60,18,76,71,30,65,6,51,100,55,57,31,52,92,18,68,20,69,34,64,45,70,45,25,91
69,38,62,6,78,8,8,0,69,25,4,73,92,3,85,50,29,23,28,85,25,57,50,39,57,39,48
2,69,84,8,72,77,70,24,55,78,86,72,2,28,10,55,53,7,7,44,21,37,82,17,27,91,5
94,38,8,72,30,10,69,23,42,94,15,3,8,11,95,98,33,27,24,22,28,26,47,16,92,24,69
26,72,15,87,87,63,81,15,54,31,18,19,54,52,19,49,5,34,24,96,68,5,86,63,24,37,68
77,60,82,96,14,7,1,15,37,25,17,74,70,56,36,21,10,52,22,92,69,59,35,49,36,22,15
78,97,37,16,48,10,20,62,43,98,57,80,54,5,91,90,50,23,37,56,97,8,90,9,87,47,65
33,4,74,44,7,0,74,36,29,4,11,34,76,93,83,100,26,38,53,99,72,86,91,88,95,7,16
36,46,6,11,65,44,48,71,22,71,9,51,8,24,87,79,73,81,21,30,10,54,87,28,33,87,35
64,22,8,100,90,38,53,6,89,3,51,31,54,71,9,56,47,54,31,5,86,95,13,25,66,33,23
31,72,20,60,75,44,13,95,53,8,80,78,81,78,58,83,25,82,17,93,41,13,98,37,70,95,30
79,42,16,26,31,25,80,7,100,86,52,23,29,31,93,71,98,32,91,8,1,39,75,88,2,8,82
2,78,41,9,76,41,25,8,89,70,51,46,7,66,76,91,52,8,20,54,17,42,89,49,57,79,41
68,3,60,26,86,21,31,70,24,90,30,37,17,40,86,9,35,21,93,14,23,6,20,4,55,48,20
65,79,70,36,44,67,78,29,30,44,26,84,96,5,69,80,32,45,48,15,17,65,19,59,2,46,21
39,81,25,43,93,83,25,55,97,91,11,8,98,8,84,79,82,9,69,27,42,88,27,21,54,15,26
59,83,80,14,40,98,18,44,53,37,92,92,19,2,91,3,7,94,84,88,89,26,56,45,53,44,72
40,79,90,72,9,56,16,69,63,9,64,97,41,49,19,30,52,58,31,6,60,49,4,35,17,74,47
39,12,77,41,86,96,92,35,45,1,17,70,38,62,21,95,55,48,14,44,88,27,100,67,55,87,6
16,59,82,67,14,70,35,67,39,98,67,31,33,54,58,33,54,48,5,99,24,33,91,9,6,99,83
76,14,52,31,87,7,53,10,69,60,37,23,15,4,12,11,79,23,59,18,18,68,22,47,0,88,76
91,73,98,97,20,18,73,15,97,72,57,33,34,37,24,44,26,86,39,15,52,52,55,12,39,89,53
8,11,11,67,88,1,11,92,48,86,2,34,91,88,14,29,45,79,69,41,42,38,73,14,69,78,100
92,11,92,1,82,60,74,88,54,14,46,6,34,43,32,22,93,96,67,87,64,76,75,5,40,51,60
95,7,31,89,83,72,66,79,34,97,25,49,11,83,24,92,81,91,75,100,80,83,99,40,95,27,3
35,25,94,25,41,77,33,10,64,39,51,5,74,46,40,43,68,17,47,97,46,98,74,7,28,12,45
83,34,76,52,42,9,16,34,39,48,75,20,66,98,92,52,5,41,35,85,39,79,60,33,73,94,30
52,60,53,12,67,11,68,12,31,98,32,1,43,11,32,21,73,85,70,96,90,16,59,80,32,91,16
35,35,3,91,60,96,57,59,7,23,57,33,15,42,91,12,22,84,39,85,57,26,5,32,66,59,97
13,49,69,54,29,7,36,72,97,77,9,50,87,6,8,23,72,6,37,0,7,88,63,79,40,88,72
17,66,38,18,65,9,38,43,72,20,95,29,36,90,9,27,28,58,100,53,45,48,10,45,23,60,6
25,68,45,69,40,55,83,65,23,1,47,70,96,38,76,38,4,74,56,91,82,35,91,33,82,21,7
16,24,18,27,91,87,8,91,53,93,70,91,68,70,75,75,18,94,11,10,45,82,69,58,10,91,12
64,49,82,37,60,49,5,27,11,55,10,91,73,63,22,21,61,48,3,20,78,84,33,78,29,4,74
6,63,42,34,82,85,65,68,66,4,9,29,76,15,90,58,19,55,8,52,86,64,53,45,20,19,98
65,3,51,51,2,39,72,71,78,14,84,3,83,35,12,24,30,83,15,19,84,33,1,22,43,5,44
50,75,30,84,65,48,94,81,2,53,55,87,19,28,5,89,27,34,50,9,27,0,49,91,13,98,14
40,84,25,90,82,91,85,88,92,91,78,94,49,58,61,75,34,23,100,3,47,97,23,93,89,88,73
87,86,64,12,9,35,4,5,24,6,77,10,6,83,19,46,98,79,31,39,73,87,22,19,95,37,9
54,63,1,57,18,15,31,51,82,23,29,93,55,66,22,36,93,81,8,0,35,68,30,100,50,57,73
18,75,10,0,87,18,48,39,65,45,91,40,73,36,41,31,92,81,13,30,83,12,42,99,64,10,18
71,57,54,77,72,86,17,13,12,6,97,22,45,45,48,58,6,88,59,5,45,32,27,16,25,55,41
85,48,63,30,29,90,42,2,13,69,4,17,19,7,12,3,40,91,12,42,57,47,57,12,41,38,3
57,50,24,52,11,73,19,84,4,51,31,72,18,61,1,30,30,18,100,15,93,29,96,57,71,30,31
20,40,5,4,76,3,72,68,59,60,10,37,75,58,67,22,66,85,70,20,34,3,35,30,71,33,96
54,26,59,7,49,58,91,61,85,96,14,55,38,89,37,85,52,25,8,91,80,96,64,54,76,68,83
54,66,25,11,88,82,44,41,37,91,93,6,24,34,38,54,39,24,59,93,1,11,10,3,39,93,4
70,43,88,29,40,53,83,38,72,41,3,70,18,62,19,80,32,89,71,36,86,82,38,60,91,20,53
22,30,66,47,90,67,85,31,30,91,65,85,66,61,54,92,11,15,35,37,80,10,10,50,22,64,5
96,10,74,35,3,78,38,87,38,67,81,2,42,94,63,9,54,8,11,32,52,37,70,91,77,33,76
68,96,16,49,75,9,12,46,87,76,73,81,17,80,45,95,8,94,38,34,12,9,37,90,70,5,92
32,73,5,70,76,88,20,27,17,10,27,48,62,91,70,60,68,31,77,30,69,25,63,5,63,60,72
55,26,70,32,18,94,34,19,36,5,65,99,0,73,92,60,41,88,71,8,72,60,100,88,4,65,26
